rayon,week_start,week_end,building_type,damaged_buildings
Bohodukhivskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Bohodukhivskyi,2026-07-27,2026-08-02,Electricity supply system,2
Bohodukhivskyi,2026-07-27,2026-08-02,Energy Infrastructure (unknown type),1
Bohodukhivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,3
Bohodukhivskyi,2026-07-27,2026-08-02,Other,2
Bohodukhivskyi,2026-07-27,2026-08-02,Total,9
Chuhuivskyi,2026-07-27,2026-08-02,Electricity supply system,1
Chuhuivskyi,2026-07-27,2026-08-02,Fuel depot,1
Chuhuivskyi,2026-07-27,2026-08-02,Other,1
Chuhuivskyi,2026-07-27,2026-08-02,Total,3
Dniprovskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Dniprovskyi,2026-07-27,2026-08-02,Government facilities,2
Dniprovskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,2
Dniprovskyi,2026-07-27,2026-08-02,Total,5
Ivano-Frankivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Ivano-Frankivskyi,2026-07-27,2026-08-02,Total,1
Iziumskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Iziumskyi,2026-07-27,2026-08-02,Government facilities,3
Iziumskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Iziumskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Iziumskyi,2026-07-27,2026-08-02,Total,6
Kharkivskyi,2026-07-27,2026-08-02,Electricity supply system,3
Kharkivskyi,2026-07-27,2026-08-02,Fuel depot,1
Kharkivskyi,2026-07-27,2026-08-02,Gas supply system,1
Kharkivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,6
Kharkivskyi,2026-07-27,2026-08-02,Other,1
Kharkivskyi,2026-07-27,2026-08-02,Total,14
Kharkivskyi,2026-07-27,2026-08-02,Warehouse,2
Khersonskyi,2026-07-27,2026-08-02,"Cultural facilities (museum, theater etc.)",1
Khersonskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Khersonskyi,2026-07-27,2026-08-02,Electricity supply system,1
Khersonskyi,2026-07-27,2026-08-02,Fuel depot,1
Khersonskyi,2026-07-27,2026-08-02,Gas supply system,2
Khersonskyi,2026-07-27,2026-08-02,Government facilities,3
Khersonskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",2
Khersonskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,7
Khersonskyi,2026-07-27,2026-08-02,Other,1
Khersonskyi,2026-07-27,2026-08-02,Telecommunications,2
Khersonskyi,2026-07-27,2026-08-02,Total,21
Korostenskyi,2026-07-27,2026-08-02,Agricultural facilities,1
Korostenskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",2
Korostenskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Korostenskyi,2026-07-27,2026-08-02,Total,4
Kramatorskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",4
Kramatorskyi,2026-07-27,2026-08-02,Fuel depot,1
Kramatorskyi,2026-07-27,2026-08-02,Government facilities,1
Kramatorskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,10
Kramatorskyi,2026-07-27,2026-08-02,Total,19
Kramatorskyi,2026-07-27,2026-08-02,Warehouse,3
Kryvorizkyi,2026-07-27,2026-08-02,Government facilities,1
Kryvorizkyi,2026-07-27,2026-08-02,Total,1
Kupianskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Kupianskyi,2026-07-27,2026-08-02,Total,1
Kyiv,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,2
Kyiv,2026-07-27,2026-08-02,Other,2
Kyiv,2026-07-27,2026-08-02,Total,5
Kyiv,2026-07-27,2026-08-02,Warehouse,1
Lozivskyi,2026-07-27,2026-08-02,Other,1
Lozivskyi,2026-07-27,2026-08-02,Total,2
Lozivskyi,2026-07-27,2026-08-02,Warehouse,1
Lubenskyi,2026-07-27,2026-08-02,Other,1
Lubenskyi,2026-07-27,2026-08-02,Road / Highway,1
Lubenskyi,2026-07-27,2026-08-02,Total,2
Lvivskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",4
Lvivskyi,2026-07-27,2026-08-02,Total,4
Myrhorodskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Myrhorodskyi,2026-07-27,2026-08-02,Total,1
Nikopolskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Nikopolskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,4
Nikopolskyi,2026-07-27,2026-08-02,Total,5
Odeskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Odeskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Odeskyi,2026-07-27,2026-08-02,Total,2
Oleksandriiskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Oleksandriiskyi,2026-07-27,2026-08-02,Total,1
Pavlohradskyi,2026-07-27,2026-08-02,Agricultural facilities,1
Pavlohradskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Pavlohradskyi,2026-07-27,2026-08-02,Total,2
Poltavskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,2
Poltavskyi,2026-07-27,2026-08-02,Total,3
Poltavskyi,2026-07-27,2026-08-02,Warehouse,1
Sumskyi,2026-07-27,2026-08-02,Total,1
Sumskyi,2026-07-27,2026-08-02,Warehouse,1
Zaporizkyi,2026-07-27,2026-08-02,Fuel depot,2
Zaporizkyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,4
Zaporizkyi,2026-07-27,2026-08-02,Other,2
Zaporizkyi,2026-07-27,2026-08-02,Total,8
Berdianskyi,2026-07-20,2026-07-26,Power plant,1
Berdianskyi,2026-07-20,2026-07-26,Total,1
Bohodukhivskyi,2026-07-20,2026-07-26,Agricultural facilities,1
Bohodukhivskyi,2026-07-20,2026-07-26,"Cultural facilities (museum, theater etc.)",2
Bohodukhivskyi,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Bohodukhivskyi,2026-07-20,2026-07-26,Electricity supply system,2
Bohodukhivskyi,2026-07-20,2026-07-26,Fuel depot,5
Bohodukhivskyi,2026-07-20,2026-07-26,Government facilities,3
Bohodukhivskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",2
Bohodukhivskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Bohodukhivskyi,2026-07-20,2026-07-26,Total,22
Bohodukhivskyi,2026-07-20,2026-07-26,Warehouse,3
Chernihivskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,2
Chernihivskyi,2026-07-20,2026-07-26,Total,2
Chuhuivskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Chuhuivskyi,2026-07-20,2026-07-26,Total,2
Chuhuivskyi,2026-07-20,2026-07-26,Warehouse,1
Donetskyi,2026-07-20,2026-07-26,Bridge,1
Donetskyi,2026-07-20,2026-07-26,Total,1
Iziumskyi,2026-07-20,2026-07-26,"Cultural facilities (museum, theater etc.)",1
Iziumskyi,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Iziumskyi,2026-07-20,2026-07-26,Electricity supply system,2
Iziumskyi,2026-07-20,2026-07-26,Fuel depot,1
Iziumskyi,2026-07-20,2026-07-26,Government facilities,1
Iziumskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Iziumskyi,2026-07-20,2026-07-26,Railway,3
Iziumskyi,2026-07-20,2026-07-26,Total,16
Iziumskyi,2026-07-20,2026-07-26,Warehouse,4
Kharkivskyi,2026-07-20,2026-07-26,Electricity supply system,3
Kharkivskyi,2026-07-20,2026-07-26,Energy Infrastructure (unknown type),1
Kharkivskyi,2026-07-20,2026-07-26,Fuel depot,4
Kharkivskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,2
Kharkivskyi,2026-07-20,2026-07-26,Railway,1
Kharkivskyi,2026-07-20,2026-07-26,Total,18
Kharkivskyi,2026-07-20,2026-07-26,Warehouse,7
Khersonskyi,2026-07-20,2026-07-26,"Education facility (school, etc.)",5
Khersonskyi,2026-07-20,2026-07-26,Fuel depot,4
Khersonskyi,2026-07-20,2026-07-26,Gas supply system,2
Khersonskyi,2026-07-20,2026-07-26,Government facilities,3
Khersonskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",5
Khersonskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,6
Khersonskyi,2026-07-20,2026-07-26,Other,1
Khersonskyi,2026-07-20,2026-07-26,Religious facilities,1
Khersonskyi,2026-07-20,2026-07-26,Telecommunications,1
Khersonskyi,2026-07-20,2026-07-26,Total,29
Khersonskyi,2026-07-20,2026-07-26,Warehouse,1
Kramatorskyi,2026-07-20,2026-07-26,Government facilities,3
Kramatorskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",4
Kramatorskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,7
Kramatorskyi,2026-07-20,2026-07-26,Total,14
Kyiv,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,1
Kyiv,2026-07-20,2026-07-26,Total,1
Lozivskyi,2026-07-20,2026-07-26,Other,1
Lozivskyi,2026-07-20,2026-07-26,Railway,1
Lozivskyi,2026-07-20,2026-07-26,Total,2
Mykolaivskyi,2026-07-20,2026-07-26,Harbor,3
Mykolaivskyi,2026-07-20,2026-07-26,Total,3
Nikopolskyi,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Nikopolskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,2
Nikopolskyi,2026-07-20,2026-07-26,Total,3
Odeskyi,2026-07-20,2026-07-26,Gas supply system,2
Odeskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Odeskyi,2026-07-20,2026-07-26,Other,1
Odeskyi,2026-07-20,2026-07-26,Total,6
Okhtyrskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,1
Okhtyrskyi,2026-07-20,2026-07-26,Total,1
Poltavskyi,2026-07-20,2026-07-26,Fuel depot,4
Poltavskyi,2026-07-20,2026-07-26,Government facilities,1
Poltavskyi,2026-07-20,2026-07-26,Total,5
Shostkynskyi,2026-07-20,2026-07-26,Fuel depot,1
Shostkynskyi,2026-07-20,2026-07-26,Government facilities,1
Shostkynskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Shostkynskyi,2026-07-20,2026-07-26,Total,3
Sumskyi,2026-07-20,2026-07-26,"Cultural facilities (museum, theater etc.)",1
Sumskyi,2026-07-20,2026-07-26,Electricity supply system,1
Sumskyi,2026-07-20,2026-07-26,Fuel depot,1
Sumskyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Sumskyi,2026-07-20,2026-07-26,Heating and water facility,1
Sumskyi,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Sumskyi,2026-07-20,2026-07-26,Total,9
Sumskyi,2026-07-20,2026-07-26,Warehouse,1
Yaltynskyi,2026-07-20,2026-07-26,Electricity supply system,1
Yaltynskyi,2026-07-20,2026-07-26,Total,1
Yevpatoriiskyi,2026-07-20,2026-07-26,Oil depot,1
Yevpatoriiskyi,2026-07-20,2026-07-26,Total,1
Zaporizkyi,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Zaporizkyi,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Zaporizkyi,2026-07-20,2026-07-26,Other,1
Zaporizkyi,2026-07-20,2026-07-26,Railway,2
Zaporizkyi,2026-07-20,2026-07-26,Total,6
Zaporizkyi,2026-07-20,2026-07-26,Warehouse,1
Zhytomyrskyi,2026-07-20,2026-07-26,Fuel depot,1
Zhytomyrskyi,2026-07-20,2026-07-26,Other,1
Zhytomyrskyi,2026-07-20,2026-07-26,Total,2
Bashtanskyi,2026-07-13,2026-07-19,Total,1
Bashtanskyi,2026-07-13,2026-07-19,Warehouse,1
Bohodukhivskyi,2026-07-13,2026-07-19,Electricity supply system,2
Bohodukhivskyi,2026-07-13,2026-07-19,Government facilities,3
Bohodukhivskyi,2026-07-13,2026-07-19,Total,5
Chernihivskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Chernihivskyi,2026-07-13,2026-07-19,Total,1
Chuhuivskyi,2026-07-13,2026-07-19,Agricultural facilities,1
Chuhuivskyi,2026-07-13,2026-07-19,Total,2
Chuhuivskyi,2026-07-13,2026-07-19,Warehouse,1
Dniprovskyi,2026-07-13,2026-07-19,Total,2
Dniprovskyi,2026-07-13,2026-07-19,Warehouse,2
Iziumskyi,2026-07-13,2026-07-19,"Cultural facilities (museum, theater etc.)",1
Iziumskyi,2026-07-13,2026-07-19,Electricity supply system,1
Iziumskyi,2026-07-13,2026-07-19,Gas supply system,1
Iziumskyi,2026-07-13,2026-07-19,Government facilities,2
Iziumskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Iziumskyi,2026-07-13,2026-07-19,Total,8
Iziumskyi,2026-07-13,2026-07-19,Warehouse,1
Iziumskyi,2026-07-13,2026-07-19,Water supply system,1
Kamianskyi,2026-07-13,2026-07-19,Agricultural facilities,2
Kamianskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Kamianskyi,2026-07-13,2026-07-19,Total,3
Kharkivskyi,2026-07-13,2026-07-19,"Cultural facilities (museum, theater etc.)",2
Kharkivskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kharkivskyi,2026-07-13,2026-07-19,Electricity supply system,4
Kharkivskyi,2026-07-13,2026-07-19,Fuel depot,1
Kharkivskyi,2026-07-13,2026-07-19,Government facilities,2
Kharkivskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,3
Kharkivskyi,2026-07-13,2026-07-19,Other,2
Kharkivskyi,2026-07-13,2026-07-19,Road / Highway,1
Kharkivskyi,2026-07-13,2026-07-19,Total,19
Kharkivskyi,2026-07-13,2026-07-19,Warehouse,2
Kharkivskyi,2026-07-13,2026-07-19,Water supply system,1
Khersonskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Khersonskyi,2026-07-13,2026-07-19,Gas supply system,1
Khersonskyi,2026-07-13,2026-07-19,Government facilities,1
Khersonskyi,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Khersonskyi,2026-07-13,2026-07-19,Heating and water facility,1
Khersonskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,4
Khersonskyi,2026-07-13,2026-07-19,Other,1
Khersonskyi,2026-07-13,2026-07-19,Telecommunications,2
Khersonskyi,2026-07-13,2026-07-19,Total,14
Khersonskyi,2026-07-13,2026-07-19,Warehouse,1
Koriukivskyi,2026-07-13,2026-07-19,Energy Infrastructure (unknown type),1
Koriukivskyi,2026-07-13,2026-07-19,Total,1
Korostenskyi,2026-07-13,2026-07-19,Fuel depot,1
Korostenskyi,2026-07-13,2026-07-19,Total,1
Kramatorskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kramatorskyi,2026-07-13,2026-07-19,Gas supply system,1
Kramatorskyi,2026-07-13,2026-07-19,Government facilities,2
Kramatorskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,8
Kramatorskyi,2026-07-13,2026-07-19,Other,3
Kramatorskyi,2026-07-13,2026-07-19,Total,15
Krasnohradskyi,2026-07-13,2026-07-19,Total,1
Krasnohradskyi,2026-07-13,2026-07-19,Warehouse,1
Kryvorizkyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,2
Kryvorizkyi,2026-07-13,2026-07-19,Total,2
Kupianskyi,2026-07-13,2026-07-19,Fuel depot,1
Kupianskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,2
Kupianskyi,2026-07-13,2026-07-19,Total,3
Kyiv,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kyiv,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Kyiv,2026-07-13,2026-07-19,Total,3
Kyiv,2026-07-13,2026-07-19,Warehouse,1
Lozivskyi,2026-07-13,2026-07-19,Agricultural facilities,1
Lozivskyi,2026-07-13,2026-07-19,Total,1
Mykolaivskyi,2026-07-13,2026-07-19,Gas supply system,1
Mykolaivskyi,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Mykolaivskyi,2026-07-13,2026-07-19,Total,2
Myrhorodskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Myrhorodskyi,2026-07-13,2026-07-19,Total,1
Nikopolskyi,2026-07-13,2026-07-19,Agricultural facilities,2
Nikopolskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Nikopolskyi,2026-07-13,2026-07-19,Electricity supply system,1
Nikopolskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,6
Nikopolskyi,2026-07-13,2026-07-19,Total,11
Novhorod-Siverskyi,2026-07-13,2026-07-19,Fuel depot,1
Novhorod-Siverskyi,2026-07-13,2026-07-19,Government facilities,1
Novhorod-Siverskyi,2026-07-13,2026-07-19,Total,2
Odeskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Odeskyi,2026-07-13,2026-07-19,Fuel depot,1
Odeskyi,2026-07-13,2026-07-19,Harbor,1
Odeskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,2
Odeskyi,2026-07-13,2026-07-19,Other,1
Odeskyi,2026-07-13,2026-07-19,Religious facilities,1
Odeskyi,2026-07-13,2026-07-19,Total,9
Odeskyi,2026-07-13,2026-07-19,Warehouse,1
Sevastopol,2026-07-13,2026-07-19,Power plant,1
Sevastopol,2026-07-13,2026-07-19,Total,1
Sumskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Sumskyi,2026-07-13,2026-07-19,Government facilities,2
Sumskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,5
Sumskyi,2026-07-13,2026-07-19,Total,10
Sumskyi,2026-07-13,2026-07-19,Water supply system,1
Synelnykivskyi,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Synelnykivskyi,2026-07-13,2026-07-19,Fuel depot,1
Synelnykivskyi,2026-07-13,2026-07-19,Government facilities,1
Synelnykivskyi,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Synelnykivskyi,2026-07-13,2026-07-19,Other,1
Synelnykivskyi,2026-07-13,2026-07-19,Total,5
Umanskyi,2026-07-13,2026-07-19,Agricultural facilities,1
Umanskyi,2026-07-13,2026-07-19,Total,1
Zaporizkyi,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Zaporizkyi,2026-07-13,2026-07-19,Total,1
Bohodukhivskyi,2026-07-06,2026-07-12,Electricity supply system,2
Bohodukhivskyi,2026-07-06,2026-07-12,Government facilities,1
Bohodukhivskyi,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Bohodukhivskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Bohodukhivskyi,2026-07-06,2026-07-12,Total,7
Buchanskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Buchanskyi,2026-07-06,2026-07-12,Total,1
Dniprovskyi,2026-07-06,2026-07-12,Agricultural facilities,1
Dniprovskyi,2026-07-06,2026-07-12,Fuel depot,1
Dniprovskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,4
Dniprovskyi,2026-07-06,2026-07-12,Total,6
Iziumskyi,2026-07-06,2026-07-12,Government facilities,1
Iziumskyi,2026-07-06,2026-07-12,Total,1
Izmailskyi,2026-07-06,2026-07-12,Energy Infrastructure (unknown type),1
Izmailskyi,2026-07-06,2026-07-12,Fuel depot,3
Izmailskyi,2026-07-06,2026-07-12,Harbor,1
Izmailskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Izmailskyi,2026-07-06,2026-07-12,Total,6
Kamianskyi,2026-07-06,2026-07-12,Agricultural facilities,2
Kamianskyi,2026-07-06,2026-07-12,Fuel depot,1
Kamianskyi,2026-07-06,2026-07-12,Gas supply system,1
Kamianskyi,2026-07-06,2026-07-12,Total,4
Kerchynskyi,2026-07-06,2026-07-12,Oil depot,1
Kerchynskyi,2026-07-06,2026-07-12,Total,1
Kharkivskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Kharkivskyi,2026-07-06,2026-07-12,Electricity supply system,1
Kharkivskyi,2026-07-06,2026-07-12,Fuel depot,4
Kharkivskyi,2026-07-06,2026-07-12,Gas supply system,1
Kharkivskyi,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",2
Kharkivskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,9
Kharkivskyi,2026-07-06,2026-07-12,Total,18
Khersonskyi,2026-07-06,2026-07-12,"Cultural facilities (museum, theater etc.)",3
Khersonskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Khersonskyi,2026-07-06,2026-07-12,Electricity supply system,1
Khersonskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Khersonskyi,2026-07-06,2026-07-12,Total,6
Konotopskyi,2026-07-06,2026-07-12,Government facilities,1
Konotopskyi,2026-07-06,2026-07-12,Total,1
Koriukivskyi,2026-07-06,2026-07-12,Fuel depot,1
Koriukivskyi,2026-07-06,2026-07-12,Total,2
Koriukivskyi,2026-07-06,2026-07-12,Water supply system,1
Kramatorskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Kramatorskyi,2026-07-06,2026-07-12,Fuel depot,2
Kramatorskyi,2026-07-06,2026-07-12,Government facilities,3
Kramatorskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Kramatorskyi,2026-07-06,2026-07-12,Total,9
Kryvorizkyi,2026-07-06,2026-07-12,Agricultural facilities,1
Kryvorizkyi,2026-07-06,2026-07-12,Fuel depot,1
Kryvorizkyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Kryvorizkyi,2026-07-06,2026-07-12,Total,5
Kupianskyi,2026-07-06,2026-07-12,Agricultural facilities,1
Kupianskyi,2026-07-06,2026-07-12,Electricity supply system,1
Kupianskyi,2026-07-06,2026-07-12,Fuel depot,2
Kupianskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Kupianskyi,2026-07-06,2026-07-12,Total,5
Kyiv,2026-07-06,2026-07-12,"Education facility (school, etc.)",3
Kyiv,2026-07-06,2026-07-12,Gas supply system,1
Kyiv,2026-07-06,2026-07-12,Government facilities,1
Kyiv,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Kyiv,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,6
Kyiv,2026-07-06,2026-07-12,Other,1
Kyiv,2026-07-06,2026-07-12,Road / Highway,1
Kyiv,2026-07-06,2026-07-12,Telecommunications,1
Kyiv,2026-07-06,2026-07-12,Total,22
Kyiv,2026-07-06,2026-07-12,Warehouse,7
Mykolaivskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Mykolaivskyi,2026-07-06,2026-07-12,Electricity supply system,1
Mykolaivskyi,2026-07-06,2026-07-12,Total,2
Nikopolskyi,2026-07-06,2026-07-12,Agricultural facilities,1
Nikopolskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",4
Nikopolskyi,2026-07-06,2026-07-12,Electricity supply system,1
Nikopolskyi,2026-07-06,2026-07-12,Fuel depot,1
Nikopolskyi,2026-07-06,2026-07-12,Government facilities,4
Nikopolskyi,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Nikopolskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Nikopolskyi,2026-07-06,2026-07-12,Other,1
Nikopolskyi,2026-07-06,2026-07-12,Total,16
Novhorod-Siverskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Novhorod-Siverskyi,2026-07-06,2026-07-12,Total,2
Novhorod-Siverskyi,2026-07-06,2026-07-12,Warehouse,1
Novomoskovskyi,2026-07-06,2026-07-12,Fuel depot,1
Novomoskovskyi,2026-07-06,2026-07-12,Total,1
Odeskyi,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Odeskyi,2026-07-06,2026-07-12,Fuel depot,1
Odeskyi,2026-07-06,2026-07-12,Gas supply system,1
Odeskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,2
Odeskyi,2026-07-06,2026-07-12,Total,5
Pavlohradskyi,2026-07-06,2026-07-12,Agricultural facilities,1
Pavlohradskyi,2026-07-06,2026-07-12,Fuel depot,1
Pavlohradskyi,2026-07-06,2026-07-12,Total,2
Poltavskyi,2026-07-06,2026-07-12,Fuel depot,1
Poltavskyi,2026-07-06,2026-07-12,Railway,1
Poltavskyi,2026-07-06,2026-07-12,Total,2
Simferopolskyi,2026-07-06,2026-07-12,Electricity supply system,1
Simferopolskyi,2026-07-06,2026-07-12,Total,1
Sumskyi,2026-07-06,2026-07-12,Fuel depot,2
Sumskyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,2
Sumskyi,2026-07-06,2026-07-12,Total,4
Synelnykivskyi,2026-07-06,2026-07-12,Agricultural facilities,1
Synelnykivskyi,2026-07-06,2026-07-12,Total,1
Yevpatoriiskyi,2026-07-06,2026-07-12,Electricity supply system,5
Yevpatoriiskyi,2026-07-06,2026-07-12,Total,5
Zaporizkyi,2026-07-06,2026-07-12,"Cultural facilities (museum, theater etc.)",1
Zaporizkyi,2026-07-06,2026-07-12,Electricity supply system,2
Zaporizkyi,2026-07-06,2026-07-12,Fuel depot,2
Zaporizkyi,2026-07-06,2026-07-12,Government facilities,1
Zaporizkyi,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,2
Zaporizkyi,2026-07-06,2026-07-12,Total,9
Zaporizkyi,2026-07-06,2026-07-12,Warehouse,1
Bakhchysaraiskyi,2026-06-29,2026-07-05,Electricity supply system,1
Bakhchysaraiskyi,2026-06-29,2026-07-05,Total,1
Bashtanskyi,2026-06-29,2026-07-05,Agricultural facilities,1
Bashtanskyi,2026-06-29,2026-07-05,Total,1
Bilohirskyi,2026-06-29,2026-07-05,Electricity supply system,1
Bilohirskyi,2026-06-29,2026-07-05,Total,1
Bohodukhivskyi,2026-06-29,2026-07-05,Energy Infrastructure (unknown type),1
Bohodukhivskyi,2026-06-29,2026-07-05,Fuel depot,2
Bohodukhivskyi,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,4
Bohodukhivskyi,2026-06-29,2026-07-05,Total,7
Boryspilskyi,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Boryspilskyi,2026-06-29,2026-07-05,Total,1
Brovarskyi,2026-06-29,2026-07-05,"Education facility (school, etc.)",1
Brovarskyi,2026-06-29,2026-07-05,Total,1
Buchanskyi,2026-06-29,2026-07-05,Total,1
Buchanskyi,2026-06-29,2026-07-05,Warehouse,1
Cherkaskyi,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Cherkaskyi,2026-06-29,2026-07-05,Total,1
Chernihivskyi,2026-06-29,2026-07-05,Government facilities,1
Chernihivskyi,2026-06-29,2026-07-05,Total,1
Dniprovskyi,2026-06-29,2026-07-05,Agricultural facilities,1
Dniprovskyi,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",1
Dniprovskyi,2026-06-29,2026-07-05,"Education facility (school, etc.)",1
Dniprovskyi,2026-06-29,2026-07-05,Fuel depot,5
Dniprovskyi,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,3
Dniprovskyi,2026-06-29,2026-07-05,Total,11
Dzhankoiskyi,2026-06-29,2026-07-05,Electricity supply system,2
